time,seconds_elapsed,z,y,x
1761413718895854300,0.073854248046875,0.2030389390796423,-0.463730879574269,-0.40994412513338024
1761413718905868000,0.083867919921875,0.13101064470112322,-0.35776144488826395,-0.3793891931980848
1761413718915881200,0.093881103515625,0.06437339571118354,-0.24940672250092027,-0.3410176692277193
1761413718925894100,0.10389404296875,0.07319967624545097,-0.1461804490432143,-0.2697052680335939
1761413718935907000,0.113906982421875,0.0719955611526966,-0.10126111086457967,-0.19780531274247914
1761413718945921300,0.12392138671875,0.12250234407484531,-0.0733517980672419,-0.11959442073889076
1761413718955934000,0.133933837890625,0.16107202096581458,-0.0821346778512001,-0.09649122958164662
1761413718965947100,0.143947021484375,0.16494272491931913,-0.12000395138785243,-0.13229169748760758
1761413718975961000,0.153961181640625,0.09953998616039753,-0.1701959692724049,-0.22877068864218889
1761413718985974000,0.16397412109375,0.009378653720021248,-0.24767609931603074,-0.3292586962424218
1761413718995987200,0.1739873046875,-0.07071662725806235,-0.2620059457026422,-0.38518626210428775
1761413719006000000,0.184000244140625,-0.11770634196996688,-0.3044515872441232,-0.4535434667546302
1761413719016014000,0.19401416015625,-0.1688093372195959,-0.3495825223468244,-0.47371111591663206
1761413719026027300,0.20402734375,-0.18159224642515182,-0.3955886328488588,-0.47850507219489663
1761413719036040200,0.214040283203125,-0.13974632434248924,-0.3743348324179649,-0.47856144202463324
1761413719046053000,0.22405322265625,-0.11121990256011485,-0.3763957104705274,-0.4229739948373288
1761413719056067300,0.2340673828125,-0.06874912657737732,-0.3909177184283733,-0.32747626980505884
1761413719066080000,0.244080078125,0.018846154767274855,-0.4292493487797677,-0.2722492168953642
1761413719076093200,0.25409326171875,0.08456102821528912,-0.4767530043631792,-0.2374840103212744
1761413719086106000,0.264106201171875,0.12469430116117,-0.5251506861768662,-0.250112605747953
1761413719096120000,0.2741201171875,0.09479074580669403,-0.58706207568869,-0.2215453039659187
1761413719106133200,0.28413330078125,0.029804186633229254,-0.6356513345517217,-0.21327760716248303
1761413719116146200,0.294146240234375,-0.018281506621837616,-0.6597087942264974,-0.18290975876450538
1761413719126160100,0.30416015625,-0.023102058646082876,-0.6589759499073028,-0.14403452305570244
1761413719136173300,0.31417333984375,-0.0013736264407634734,-0.6724288673289119,-0.09471263906918466
1761413719146186200,0.324186279296875,0.03749707922339439,-0.6750536628745496,-0.07358483963813632
1761413719156199200,0.33419921875,0.031551322561502455,-0.6805886467784643,-0.11094963425137101
1761413719166213400,0.34421337890625,0.01141454346179962,-0.6318848216250539,-0.1384011568112299
1761413719176226000,0.35422607421875,-0.01913140144944191,-0.6570083030961453,-0.12373005923889577
1761413719186239200,0.3642392578125,-0.06479717408120632,-0.6536189529187977,-0.10997779354453086
1761413719196252200,0.374252197265625,-0.08139701122641563,-0.6654245415247977,-0.08593432586248964
1761413719206266000,0.38426611328125,-0.06217617792785168,-0.734845356818661,-0.10024250840656458
1761413719216279300,0.394279296875,0.022309446963667868,-0.7459195624101906,-0.1502072568738833
1761413719226292200,0.404292236328125,0.11395721856951713,-0.7629363828584551,-0.16839016195945442
1761413719236305200,0.41430517578125,0.13364099320471287,-0.8317341708831488,-0.1596059670012444
1761413719246319000,0.424319091796875,0.11780746425688265,-0.8764102748904377,-0.20098226227816193
1761413719256332000,0.43433203125,0.08688099559545516,-0.8640149036977439,-0.24961875781640408
1761413719266345200,0.44434521484375,0.09683774146437645,-0.8385342793520539,-0.2559436134563759
1761413719276358100,0.454358154296875,0.08126023310422897,-0.896973535773903,-0.23739410354811696
1761413719286372000,0.4643720703125,0.11887363218367099,-0.8751553063932805,-0.25058793164212256
1761413719296385000,0.474385009765625,0.1998141318142414,-0.8601420077871531,-0.21306381828133017
1761413719306398200,0.484398193359375,0.30843583457469936,-0.8563933227781206,-0.19421791924238205
1761413719316412200,0.494412109375,0.45798868266046044,-0.8660151376042514,-0.17598332050219176
1761413719326425000,0.504425048828125,0.661124067851901,-0.8791460565298795,-0.1394395599482581
1761413719336438300,0.514438232421875,0.8213602225154638,-0.9156615043047815,-0.11994159020874648
1761413719346451000,0.524450927734375,0.8738935428291559,-0.994126480667293,-0.07360990101415664
1761413719356465200,0.534465087890625,0.8242612046539783,-1.062633249856159,-0.04957556648664176
1761413719366478000,0.54447802734375,0.7635030768305063,-1.0888459878686816,-0.11265895891990511
1761413719376491000,0.554490966796875,0.7649965302586555,-1.0705430731326342,-0.15648191669657827
1761413719386504200,0.564504150390625,0.7492775676012039,-1.0736848052244632,-0.15053177612051366
1761413719396518100,0.57451806640625,0.729051356652379,-1.168561402683705,-0.10216401452105492
1761413719406531000,0.584531005859375,0.7193465397179126,-1.2472878795266151,-0.017786416581273078
1761413719416544300,0.594544189453125,0.6562737052112817,-1.3492762817524373,0.07414057382475585
1761413719426557200,0.60455712890625,0.5786579660892486,-1.4097232978001235,0.1418853091325611
1761413719436571100,0.614571044921875,0.4022422455191612,-1.4411995092988013,0.23422453360129147
1761413719446584300,0.624584228515625,0.018847908332943916,-1.5197206728279589,0.2742381622228771
1761413719456597000,0.634596923828125,-0.49936815627515313,-1.5127631087750195,0.19411602977048603
1761413719466610200,0.644610107421875,-0.9853530993640423,-1.4086135829925537,0.13313746412936597
1761413719476624100,0.6546240234375,-1.4066466668337583,-1.25364294764176,0.1139671919742599
1761413719486637000,0.664636962890625,-1.7207307364284992,-1.099913179197535,0.1316193511839956
1761413719496650200,0.674650146484375,-1.8845669614106415,-0.9809929313931613,0.15327490081619471
1761413719506664200,0.684664306640625,-1.8751409614175556,-0.9139491474289446,0.16521818085983395
