time,seconds_elapsed,z,y,x
1761417452186580700,0.197580810546875,-1.0287904739379883,-0.8165574073791504,0.36390194296836853
1761417452203402800,0.21440283203125,-1.5624513626098633,-1.2985241413116455,0.3136880397796631
1761417452220227800,0.231227783203125,-0.982696533203125,-0.9728562831878662,1.1408740282058716
1761417452237052700,0.248052734375,0.023149490356445312,-0.0744485855102539,1.0902724266052246
1761417452253878000,0.2648779296875,0.3611259460449219,0.5475890636444092,0.6363561153411865
1761417452270702800,0.281702880859375,-0.13786888122558594,0.7659375667572021,0.7108769416809082
1761417452287545000,0.298545166015625,-0.9364376068115234,0.7635321617126465,0.5047986507415771
1761417452304363000,0.315363037109375,-1.1330814361572266,0.6082007884979248,-0.49012094736099243
1761417452321192000,0.33219189453125,-1.999354362487793,1.5061283111572266,-2.7075729370117188
1761417452338016500,0.3490166015625,-2.041073799133301,1.4214682579040527,-2.2951974868774414
1761417452354808800,0.365808837890625,-1.119959831237793,-0.7701239585876465,0.8234694600105286
1761417452371643600,0.3826435546875,0.15608501434326172,-1.0652028322219849,2.6273796558380127
1761417452388475000,0.399474853515625,0.5277795791625977,-0.6640326976776123,2.462470293045044
1761417452405306400,0.416306396484375,0.444610595703125,-0.3616640567779541,1.536656379699707
1761417452422127900,0.4331279296875,-0.040474891662597656,-1.149045467376709,0.1724153757095337
1761417452438950000,0.449949951171875,-0.524993896484375,-0.7965197563171387,-0.10824179649353027
1761417452455798500,0.466798583984375,-0.95465087890625,-0.4826395511627197,-0.6857014298439026
1761417452472608500,0.4836083984375,-2.019502639770508,-0.7667739391326904,-0.9526940584182739
1761417452489447000,0.500447021484375,-2.8134560585021973,-0.5942862033843994,-1.151343584060669
1761417452506271000,0.51727099609375,-2.2671375274658203,-0.16459310054779053,-1.5310472249984741
1761417452523092000,0.534092041015625,-2.5748910903930664,-0.30649781227111816,-1.8949559926986694
1761417452539913700,0.550913818359375,-3.5157270431518555,-0.3446919918060303,-2.408985137939453
1761417452556733700,0.567733642578125,-3.65878963470459,-0.3144493103027344,-2.5150575637817383
1761417452573567200,0.584567138671875,-3.92136287689209,-0.13479375839233398,-2.482060432434082
1761417452590392600,0.601392578125,-4.882109642028809,-0.23299741744995117,-2.641981840133667
1761417452607200300,0.6182001953125,-5.524735450744629,-0.1800612211227417,-2.8577449321746826
1761417452624029000,0.63502880859375,-5.273614883422852,-0.05586814880371094,-3.5384933948516846
1761417452640853500,0.651853515625,-4.682948589324951,0.09659075736999512,-3.4942238330841064
1761417452657678800,0.668678955078125,-3.774394989013672,0.3616753816604614,-2.821226119995117
1761417452674504000,0.68550390625,-2.186000347137451,0.5497757196426392,-1.389127254486084
1761417452691315700,0.702315673828125,-0.09292984008789062,0.5637514591217041,0.8820755481719971
1761417452708170500,0.71917041015625,3.3975305557250977,1.4873127937316895,0.7786571979522705
1761417452724988400,0.735988525390625,5.840353965759277,2.86590838432312,0.5919568538665771
1761417452741821700,0.75282177734375,9.160956382751465,3.944941997528076,-0.8033368587493896
1761417452758642700,0.769642578125,12.564729690551758,4.048469543457031,-0.6204609870910645
1761417452775467500,0.786467529296875,19.012065887451172,4.096699237823486,0.9698667526245117
1761417452792295000,0.803294921875,26.373477935791016,3.4065139293670654,3.8578734397888184
1761417452809098800,0.8200986328125,31.375133514404297,1.8516197204589844,6.455759525299072
1761417452825938000,0.83693798828125,30.895071029663086,0.9842307567596436,8.359808921813965
1761417452842762200,0.85376220703125,24.90349578857422,1.4967929124832153,8.82087516784668
1761417452859581000,0.870580810546875,17.39156723022461,2.657989501953125,7.589186668395996
1761417452876404500,0.887404541015625,10.758334159851074,3.5265450477600098,5.4845428466796875
1761417452893229300,0.904229248046875,5.800257682800293,3.735257625579834,3.254162549972534
1761417452910036000,0.921035888671875,2.262584686279297,2.704392194747925,1.8745801448822021
1761417452926879000,0.93787890625,-0.8387918472290039,0.4690887928009033,1.128849983215332
1761417452943711000,0.9547109375,-3.5120673179626465,-1.768570899963379,0.28883469104766846
1761417452960550000,0.9715498046875,-6.21138334274292,-4.099357604980469,-0.21500897407531738
1761417452977350400,0.988350341796875,-8.364900588989258,-6.638511657714844,-0.3952227830886841
1761417452994193400,1.005193359375,-9.554366111755371,-8.353067398071289,-1.0177282094955444
1761417453011002600,1.022002685546875,-11.262712478637695,-9.313697814941406,-2.054670810699463
1761417453027843600,1.038843505859375,-13.382540702819824,-10.28165054321289,-3.080784559249878
1761417453044647700,1.055647705078125,-14.909385681152344,-10.89071273803711,-3.75461483001709
1761417453061476900,1.072476806640625,-15.210665702819824,-10.870615005493164,-3.9201250076293945
1761417453078323000,1.089322998046875,-14.318842887878418,-10.636828422546387,-3.5715177059173584
1761417453095126300,1.106126220703125,-13.033586502075195,-10.292217254638672,-3.2567358016967773
1761417453111954700,1.12295458984375,-11.989748001098633,-9.911713600158691,-3.1387298107147217
1761417453128775200,1.139775146484375,-11.053813934326172,-9.57279109954834,-2.714059352874756
1761417453145604600,1.1566044921875,-10.405632972717285,-8.718979835510254,-3.152583599090576
1761417453162429700,1.1734296875,-9.94348430633545,-8.066452026367188,-3.512234926223755
1761417453179254800,1.1902548828125,-9.646600723266602,-7.655170440673828,-3.6147303581237793
1761417453196093000,1.207093017578125,-9.193938255310059,-7.0029706954956055,-3.7224321365356445
1761417453212922600,1.223922607421875,-8.618041038513184,-6.5883564949035645,-3.6107943058013916
1761417453229746400,1.240746337890625,-8.077054977416992,-6.156174182891846,-3.2135682106018066
1761417453250757600,1.261757568359375,-5.65976619720459,-4.806623458862305,-2.164301633834839
