time,seconds_elapsed,z,y,x
1761413687653193700,0.07919384765625,-0.018730437383055687,0.0032034404575824738,0.0039528291672468185
1761413687663207700,0.089207763671875,-0.022805606946349144,0.003965903073549271,-0.0006624291418120265
1761413687673220900,0.099220947265625,-0.02434810996055603,0.010935395024716854,-0.005217233672738075
1761413687683234800,0.10923486328125,-0.026722317561507225,0.010765220038592815,-0.016519157215952873
1761413687693247700,0.119247802734375,-0.026689359918236732,0.029363371431827545,-0.02868550270795822
1761413687703262000,0.129261962890625,-0.02150817960500717,0.048309363424777985,-0.03552716597914696
1761413687713274600,0.139274658203125,-0.02418758161365986,0.06560166925191879,-0.03870337828993797
1761413687723288800,0.149288818359375,-0.02696419321000576,0.06629275530576706,-0.037091635167598724
1761413687733301800,0.1593017578125,-0.035936448723077774,0.05804184824228287,-0.028767477720975876
1761413687743315700,0.169315673828125,-0.046113986521959305,0.04571700468659401,-0.01972018927335739
1761413687753329000,0.179328857421875,-0.05444442108273506,0.039722997695207596,-0.00909735169261694
1761413687763342000,0.189342041015625,-0.05966901034116745,0.039056409150362015,-0.0035939295776188374
1761413687773356000,0.19935595703125,-0.059722140431404114,0.041633084416389465,0.00013496913015842438
1761413687783369000,0.209368896484375,-0.05514150485396385,0.052648186683654785,0.001288650557398796
1761413687793383200,0.219383056640625,-0.053855329751968384,0.05753621831536293,0.0041999490931630135
1761413687803396000,0.22939599609375,-0.04764989763498306,0.05991495028138161,0.005542980972677469
1761413687813410000,0.23941015625,-0.04370475560426712,0.06236262992024422,0.002916877157986164
1761413687823423200,0.24942333984375,-0.04322512075304985,0.06068110838532448,0.007794457022100687
1761413687833437000,0.25943701171875,-0.04429404437541962,0.054225239902734756,0.004420862998813391
1761413687843450000,0.2694501953125,-0.04846642166376114,0.044593386352062225,0.0024506566114723682
1761413687853464000,0.279464111328125,-0.05266629159450531,0.03669854626059532,-0.0018901284784078598
1761413687863477000,0.28947705078125,-0.06161291524767876,0.02110413834452629,-0.004183642566204071
1761413687873491000,0.299490966796875,-0.061386216431856155,0.012197630479931831,-0.006327131763100624
1761413687883504000,0.309504150390625,-0.0616525337100029,0.013909511268138885,-0.01761334203183651
1761413687893518000,0.31951806640625,-0.05721883103251457,0.01838698238134384,-0.03312907740473747
1761413687903531000,0.329531005859375,-0.051408879458904266,0.02065413072705269,-0.04757166653871536
1761413687913545200,0.339545166015625,-0.04524126648902893,0.02152698114514351,-0.05911446735262871
1761413687923558000,0.349557861328125,-0.04180845245718956,0.025592029094696045,-0.06258935481309891
1761413687933571000,0.359571044921875,-0.028933465480804443,0.024071598425507545,-0.06200583279132843
1761413687943585000,0.3695849609375,-0.023286232724785805,0.027320124208927155,-0.06292062252759933
1761413687953598000,0.379597900390625,-0.0010978423524647951,0.03380132466554642,-0.05337413027882576
1761413687963612200,0.389612060546875,0.024367837235331535,0.0456627793610096,-0.03232290595769882
1761413687973624800,0.399624755859375,0.0399605818092823,0.03725288063287735,-0.010923964902758598
1761413687983639000,0.40963916015625,0.06230796501040459,0.030632259324193,0.015768632292747498
1761413687993652200,0.41965234375,0.07759378105401993,0.01963796652853489,0.049382489174604416
1761413688003666000,0.429666015625,0.09639063477516174,0.007813531905412674,0.07402578741312027
1761413688013679000,0.43967919921875,0.11286501586437225,0.007347647100687027,0.09162377566099167
1761413688023693000,0.449693115234375,0.12601490318775177,0.011620421893894672,0.09665315598249435
1761413688033706000,0.4597060546875,0.13277047872543335,0.017637401819229126,0.09646716713905334
1761413688043720000,0.469719970703125,0.13520513474941254,0.022562386468052864,0.08644116669893265
1761413688053733000,0.479733154296875,0.14113673567771912,0.031175415962934494,0.07183787971735
1761413688063746800,0.489746826171875,0.14646011590957642,0.04687475040555,0.06498183310031891
1761413688073760000,0.499760009765625,0.15110275149345398,0.05327988415956497,0.06094319000840187
1761413688083774200,0.509774169921875,0.1453961282968521,0.05067770928144455,0.05919855460524559
1761413688093787000,0.519786865234375,0.13518649339675903,0.04009357467293739,0.054597340524196625
1761413688103800000,0.529800048828125,0.13211187720298767,0.045219630002975464,0.05289052054286003
1761413688113814000,0.53981396484375,0.12988367676734924,0.04463602602481842,0.043352264910936356
1761413688123827000,0.549826904296875,0.12214267253875732,0.03902580961585045,0.02238652855157852
1761413688133841200,0.559841064453125,0.11586266756057739,0.023999594151973724,0.007321943528950214
1761413688143854000,0.56985400390625,0.1063285544514656,0.006267734803259373,-0.007395217195153236
1761413688153868000,0.579867919921875,0.09871311485767365,-0.004332514014095068,-0.02130882255733013
1761413688163881000,0.589880859375,0.08977314829826355,-0.007949086837470531,-0.025285188108682632
1761413688173895200,0.599895263671875,0.08717922866344452,-0.014520566910505295,-0.026088546961545944
1761413688183908000,0.609908203125,0.0808267891407013,-0.026929831132292747,-0.028249170631170273
1761413688193922000,0.619922119140625,0.07329496741294861,-0.03727175295352936,-0.03714831918478012
1761413688203935200,0.629935302734375,0.062025003135204315,-0.04149606078863144,-0.041477020829916
1761413688213949000,0.639948974609375,0.05426594987511635,-0.044030025601387024,-0.04130421206355095
1761413688223962000,0.649962158203125,0.03768111392855644,-0.04911426827311516,-0.03774196654558182
1761413688233976000,0.65997607421875,0.025337232276797295,-0.06172586604952812,-0.02364777773618698
1761413688243989000,0.669989013671875,0.012985490262508392,-0.07812348008155823,-0.006036827340722084
1761413688254003000,0.6800029296875,-0.0011694119311869144,-0.10187911242246628,0.006713016889989376
1761413688264016100,0.69001611328125,-0.01568417251110077,-0.12216094881296158,0.02601587399840355
